prop.true	m	n	d	pval	fdr.theo	fdr.actl
0.1	10000	16	0.25	0.001	0.686572225200028	0.591727053363468
0.1	10000	16	0.25	0.01	0.760908654860668	0.730732385201548
0.1	10000	16	0.25	0.03	0.798636670856593	0.778546632709374
0.1	10000	16	0.25	0.05	0.81652954681387	0.802581825329407
0.1	10000	16	0.25	0.1	0.841012492449751	0.821439190704973
0.3	10000	16	0.25	0.001	0.362691427413276	0.442292692615809
0.3	10000	16	0.25	0.01	0.452087995498786	0.454364562840117
0.3	10000	16	0.25	0.03	0.506966626563041	0.513237000934656
0.3	10000	16	0.25	0.05	0.53571062680577	0.53002608794002
0.3	10000	16	0.25	0.1	0.578313531661686	0.576118708464552
0.5	10000	16	0.25	0.001	0.196092973611273	0.308928886799464
0.5	10000	16	0.25	0.01	0.261239554560787	0.31963351790113
0.5	10000	16	0.25	0.03	0.305884646537788	0.317216340722105
0.5	10000	16	0.25	0.05	0.330878965907442	0.325061020826003
0.5	10000	16	0.25	0.1	0.370180236851804	0.350638639403251
0.7	10000	16	0.25	0.001	0.0946486757209363	0.100478034681991
0.7	10000	16	0.25	0.01	0.131605920236154	0.155697066993069
0.7	10000	16	0.25	0.03	0.1588610081366	0.167310222727382
0.7	10000	16	0.25	0.05	0.174868330990254	0.201018191925211
0.7	10000	16	0.25	0.1	0.201211190581035	0.192555483896725
0.9	10000	16	0.25	0.001	0.026389349607365	0.0686293865668578
0.9	10000	16	0.25	0.01	0.037805597386294	0.0304941873645992
0.9	10000	16	0.25	0.03	0.046679158913425	0.038557461339731
0.9	10000	16	0.25	0.05	0.0520826070876787	0.0462231986210887
0.9	10000	16	0.25	0.1	0.0613027539681189	0.0620737656130233
0.1	10000	16	0.5	0.001	0.282688026853081	0.380492891561856
0.1	10000	16	0.5	0.01	0.455008155641211	0.468535127636783
0.1	10000	16	0.5	0.03	0.564016235954018	0.570918089220413
0.1	10000	16	0.5	0.05	0.618717312267369	0.634938912472073
0.1	10000	16	0.5	0.1	0.694211181993664	0.69968127492639
0.3	10000	16	0.5	0.001	0.092711356763317	0.0861022625777244
0.3	10000	16	0.5	0.01	0.177938558229065	0.192154895396384
0.3	10000	16	0.5	0.03	0.251157831714549	0.272938188485783
0.3	10000	16	0.5	0.05	0.29612510285718	0.309715373492611
0.3	10000	16	0.5	0.1	0.370506363078531	0.37681201487115
0.5	10000	16	0.5	0.001	0.0419566743024823	0.0638912387984159
0.5	10000	16	0.5	0.01	0.0848910120259741	0.0899943432523086
0.5	10000	16	0.5	0.03	0.125676010410933	0.124273563594666
0.5	10000	16	0.5	0.05	0.152759889601908	0.149892126267031
0.5	10000	16	0.5	0.1	0.201436070613244	0.192178899428813
0.7	10000	16	0.5	0.001	0.0184232339203198	0.0217348430112884
0.7	10000	16	0.5	0.01	0.0382366815360232	0.044642636763168
0.7	10000	16	0.5	0.03	0.0580284228683967	0.0584450501498615
0.7	10000	16	0.5	0.05	0.0717299463025559	0.0739335280518231
0.7	10000	16	0.5	0.1	0.0975594363271019	0.0964041757167327
0.9	10000	16	0.5	0.001	0.00484247602579167	0.00480070216691872
0.9	10000	16	0.5	0.01	0.0102021782877083	0.0101086064483074
0.9	10000	16	0.5	0.03	0.0157201288843521	0.0143998680408123
0.9	10000	16	0.5	0.05	0.0196402014469092	0.018310429674316
0.9	10000	16	0.5	0.1	0.0272634176785644	0.0237406984794832
0.1	10000	16	0.75	0.001	0.0929903496887181	0.106908096505634
0.1	10000	16	0.75	0.01	0.240568830727575	0.217191792149836
0.1	10000	16	0.75	0.03	0.376309529221236	0.366858065423346
0.1	10000	16	0.75	0.05	0.455866964792302	0.446697504192243
0.1	10000	16	0.75	0.1	0.574799314397289	0.559322116519853
0.3	10000	16	0.75	0.001	0.0258925636543944	0.0163736740050732
0.3	10000	16	0.75	0.01	0.075893886116438	0.0693754926087984
0.3	10000	16	0.75	0.03	0.135267189124576	0.1309595809325
0.3	10000	16	0.75	0.05	0.178445167343042	0.170908240276736
0.3	10000	16	0.75	0.1	0.259519324610067	0.263453126511332
0.5	10000	16	0.75	0.001	0.0112634652439341	0.00925869531584636
0.5	10000	16	0.75	0.01	0.03400050503517	0.0346603383430663
0.5	10000	16	0.75	0.03	0.0628279791709354	0.0697933446499833
0.5	10000	16	0.75	0.05	0.0851601692972339	0.0819129105204626
0.5	10000	16	0.75	0.1	0.130588599006166	0.125681107499257
